Rank,Title,Release_Date,Metascore,Userscore,Summary,Link
26.,The White Fortress,"April 22, 2022",79,tbd,"In the rundown Sarajevo suburb of Alipasino Polje, Faruk is an orphan who lives with his ill grandmother and spends his days foraging for scrap metal and dabbling in petty crime.  One day he meets Mona, a timid teen from a politically powerful and affluent family. As Mona dreams of escaping the overbearing toxicity of her home life, she seeks refuge and opens herself up to Faruk, a boy from a world entirely different than her own.",https://www.metacritic.com/movie/the-white-fortress
27.,All My Friends Hate Me,"March 11, 2022",79,6.8,"A college reunion goes awry when Pete suspects his friends may be out to get him. . . As their weekend getaway grows more and more uncomfortable, should Pete be worried about his safety, or is it all in his head? [Super LTD]",https://www.metacritic.com/movie/all-my-friends-hate-me
28.,Ahed's Knee,"March 18, 2022",79,tbd,"A celebrated Israeli filmmaker named Y arrives in a remote desert village to present one of his films at a local library. Struggling to cope with the recent news of his mother’s terminal illness, he is pushed into a spiral of rage when the host of the screening, a government employee, asks him to sign a form placing restrictions on what he can say at the film’s Q&A. Told over the course of one day, the film depicts Y as he battles against the loss of freedom in his country and the fear of losing his mother.",https://www.metacritic.com/movie/aheds-knee
29.,Apollo 10½: A Space Age Childhood,"March 25, 2022",79,6.5,"Apollo 10 ½: A Space Age Childhood tells the story of the first moon landing in the summer of 1969 from two interwoven perspectives – the astronaut and mission control view of the triumphant moment, and through the eyes of a kid growing up in Houston, Texas who has intergalactic dreams of his own. Taking inspiration from Academy Award-nominated® filmmaker Richard Linklater’s own life, Apollo 10 ½: A Space Age Childhood is a snapshot of American life in the 1960s that is part coming of age, part societal commentary, and part out-of-this-world adventure. [Netflix]",https://www.metacritic.com/movie/apollo-10
30.,Lunana: A Yak in the Classroom,"January 21, 2022",79,7.4,"A disillusioned schoolteacher is transferred to the most remote school in the world, cut off from modern life deep in the Himalayan glaciers.  In a classroom with no electricity or even a blackboard, he finds himself with only a yak and a song that echoes through the mountains.",https://www.metacritic.com/movie/lunana-a-yak-in-the-classroom
31.,After Yang,"March 4, 2022",79,7.2,"When his young daughter's beloved companion — an android named Yang — malfunctions, Jake (Colin Farrell) searches for a way to repair him. In the process, Jake discovers the life that has been passing in front of him, reconnecting with his wife (Jodie Turner-Smith) and daughter across a distance he didn't know was there.",https://www.metacritic.com/movie/after-yang
32.,You Won't Be Alone,"April 1, 2022",79,6.2,"In an isolated mountain village in 19th-century Macedonia, a young girl is taken from her mother and transformed into a witch by an ancient, shape-shifting spirit. Left to wander feral, the young witch beholds the natural world with curiosity and wonder. After inadvertently killing a villager and assuming her body, she continues to inhabit different people, living among the villagers for years, observing and mimicking their behavior until the ancient spirit returns, bringing them full circle.",https://www.metacritic.com/movie/you-wont-be-alone
33.,Apples,"June 24, 2022",79,tbd,"Amidst a worldwide pandemic that causes sudden amnesia, middle-aged Aris (Aris Servetalis) finds himself enrolled in a recovery program designed to help unclaimed patients build new identities. Prescribed daily tasks on cassette tapes so he can create new memories and document them on camera, Aris slides back into ordinary life, meeting Anna (Sofia Georgovasili), a woman who is also in recovery.",https://www.metacritic.com/movie/apples
34.,Kimi,"February 10, 2022",79,5.7,An agoraphobic Seattle tech worker (Zoë Kravitz) uncovers evidence of a crime.,https://www.metacritic.com/movie/kimi
35.,X,"March 18, 2022",78,7.0,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",https://www.metacritic.com/movie/x-2022
36.,This Much I Know to Be True,"May 11, 2022",78,tbd,"Explores the creative relationship and songs from Nick Cave and Warren Ellis' last two studio albums, ""Ghosteen"" and ""Carnage"".",https://www.metacritic.com/movie/this-much-i-know-to-be-true
37.,Servants,"February 25, 2022",78,tbd,"Two students of a theological seminary in totalitarian Czechoslovakia must decide if they'll choose the easier way of collaboration, or if they'll subject themselves to the surveillance of the secret police.",https://www.metacritic.com/movie/servants
38.,Islands,"April 12, 2022",77,tbd,"Still living with his aging parents, Joshua (Rogelio Balagtas), a Filipino immigrant to Canada, prays every night for God to rid him of his shyness. The Almighty seemingly answers his petition when his beatific cousin Marisol (Sheila Lotuaco) arrives and slowly transforms Joshua's house back into a home.",https://www.metacritic.com/movie/islands
39.,Dear Mr. Brody,"March 4, 2022",77,tbd,"When 21-year-old hippie-millionaire Michael Brody Jr. decided to give away his fortune to anyone in need, he ignited a psychedelic spiral of events. An instant celebrity, Brody was mobbed by the public, scrutinized by the press, and overwhelmed by the crush of personal letters responding to his extraordinary offer. Fifty years later, an enormous cache of these letters are discovered—unopened.",https://www.metacritic.com/movie/dear-mr-brody
40.,We're All Going to the World's Fair,"April 15, 2022",77,tbd,"Late on a cold night somewhere in the U.S., teenage Casey sits alone in her attic bedroom, scrolling the internet under the glow-in-the-dark stars and black-light posters that blanket the ceiling. She has finally decided to take the World’s Fair Challenge, an online role-playing horror game, and embrace the uncertainty it promises. After the initiation, she documents the changes that may or may not be happening to her, adding her experiences to the shuffle of online clips available for the world to see. As she begins to lose herself between dream and reality, a mysterious figure reaches out, claiming to see something special in her uploads.",https://www.metacritic.com/movie/were-all-going-to-the-worlds-fair
41.,Introduction,"January 21, 2022",77,tbd,"Youngho (Shin Seokho) goes to see his father who is tending to a famous patient. He surprises his girlfriend, Juwon (Park Miso), in Berlin where she is studying fashion design. He goes to a seaside hotel to meet his mother and brings his friend Jeongsoo (Ha Seongguk) with him. In each instance, he anticipates an important conversation. But sometimes a shared look, or a shared smoke, can mean as much as anything we could say to those close to us.",https://www.metacritic.com/movie/introduction
42.,Brighton 4th,"January 28, 2022",76,tbd,"Former wrestler Kakhi (played by real-life Olympic champion Levan Tediashvili) embarks on a journey from his home in the Republic of Georgia to visit his son Soso (Giorgi Tabidze) in the Russian-speaking neighborhood of Brighton Beach, Brooklyn. There he finds him living in a shabby boarding house populated by a colorful group of fellow Georgian immigrants. Soso is not studying medicine, as Kakhi believed, but is working for a moving company and has accrued a $14,000 gambling debt to a local Russian mob boss. Kakhi sets his mind to helping his hapless son out of his debt, leading to situations as often comic as they are dire.",https://www.metacritic.com/movie/brighton-4th
43.,Flux Gourmet,"June 24, 2022",76,tbd,"Set at an institute devoted to culinary and alimentary performance, a collective finds themselves embroiled in power struggles, artistic vendettas and gastrointestinal disorders.",https://www.metacritic.com/movie/flux-gourmet
44.,Pleasure,"May 13, 2022",76,5.4,"Ninja Thyberg’s debut feature film is a journey into the Los Angeles porn industry through the lens of newcomer Bella Cherry (Sofia Kappel). Strong, self-confident and determined, Bella embarks on amission to become the best at any cost.",https://www.metacritic.com/movie/pleasure
45.,The Innocents,"May 13, 2022",76,tbd,"Four children become friends during the bright Nordic summer. Out of sight of the adults, they discover they have hidden powers. While exploring their newfound abilities in the nearby forests and playgrounds, their innocent play takes a dark turn and strange things begin to happen.",https://www.metacritic.com/movie/the-innocents-2022
46.,"Good Luck to You, Leo Grande","June 17, 2022",76,tbd,"Nancy Stokes (Emma Thompson) doesn’t know good sex. Whatever it may be, Nancy, a retired schoolteacher, is pretty sure she has never had it,  but she is determined to finally do something about that. She even has a plan: It involves an anonymous hotel room, and a young sex worker who calls himself Leo Grande (Daryl McCormack). Leo is confident, dapper, and takes pride in being good at his job. He also appears to be intrigued by Nancy — one of many things to surprise her during their time together.",https://www.metacritic.com/movie/good-luck-to-you-leo-grande
47.,Benediction,"June 3, 2022",76,tbd,"Benediction explores the turbulent life of WWI poet Siegfried Sassoon (Jack Lowden). The writer and soldier was a complex man who survived the horrors of fighting in the First World War and was decorated for his bravery but who became a vocal critic of the government’s continuation of the war when he returned from service. His poetry was inspired by his experiences on the Western Front, and he became one of the leading war poets of the era. Adored by members of the aristocracy as well as stars of London’s literary and stage world, he embarked on affairs with several men as he attempted to come to terms with his homosexuality. At the same time, broken by the horror of war, he made his life’s journey a quest for salvation, trying to find it within the conformity of marriage and religion.",https://www.metacritic.com/movie/benediction
48.,Cha Cha Real Smooth,"June 17, 2022",76,tbd,"Fresh out of college and without a clear life path going forward, 22-year-old Andrew (Cooper Raiff) is stuck back at home with his family in New Jersey. But if there’s one thing that belongs on his nonexistent résumé, it’s how to get a party started, which lands him the perfect job of motivational dancing at the bar and bat mitzvahs for his younger brother’s classmates. When Andrew befriends a local mom, Domino (Dakota Johnson), and her daughter, Lola (Vanessa Burghardt), he finally discovers a future he wants — even if it might not be his own.",https://www.metacritic.com/movie/cha-cha-real-smooth
49.,"Paris, 13th District","April 15, 2022",76,5.8,"Paris, 13th District today.  Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy – they’re friends, sometimes lovers and often both.",https://www.metacritic.com/movie/paris-13th-district
50.,Emily the Criminal,"August 5, 2022",75,tbd,"Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal record. Desperate for income, she takes a shady gig as a “dummy shopper,” buying goods with stolen credit cards supplied by a middleman named Youcef (Theo Rossi). Faced with a series of dead-end job interviews, Emily soon finds herself seduced not only by the quick cash and illicit thrills of black market capitalism, but also by her ardent mentor Youcef.",https://www.metacritic.com/movie/emily-the-criminal
51.,The Automat,"February 18, 2022",75,tbd,"Before fast food we had something better. Our grandparents told us stories of gathering around communal tables, sharing their lives, their struggles, and their dreams with strangers at The Automat. Relive the phenomena of America’s original and most beloved restaurant chain with never before-seen archival footage and photographs and a cast including celebrity customers, company executives, historians, and members of the Horn & Hardart families.",https://www.metacritic.com/movie/the-automat
52.,Tony Hawk: Until the Wheels Fall Off,"April 5, 2022",75,6.8,"A wide-ranging, definitive look at Hawk’s life and iconic career, and his relationship with the sport with which he’s been synonymous for decades. Hawk, born in San Diego, Calif., is a pioneer of modern vertical skating and one of the most influential skateboarders of all time. [HBO]",https://www.metacritic.com/movie/tony-hawk-until-the-wheels-fall-off
53.,Strawberry Mansion,"February 18, 2022",75,tbd,"In the not-too-distant future, an all-seeing surveillance state conducts “dream audits” to collect taxes on the unconscious lives of the populace. Mild-mannered government agent James Preble (Kentucker Audley) travels to a remote farmhouse to audit the dreams of Arabella “Bella” Isadora (Penny Fuller), an eccentric, aging artist. Entering Bella’s vast VHS archive, which contains a lifetime of dreams, Preble stumbles upon a secret that offers him a chance at love—and hope for escape. [Sundance]",https://www.metacritic.com/movie/strawberry-mansion
54.,On the Count of Three,"May 13, 2022",74,tbd,"Val (Jerrod Carmichael) has reached a place where he feels the only way out is to end things. But he considers himself a bit of a failure—his effectiveness lacking—so he figures he could use some help. As luck would have it, Val’s best friend, Kevin (Christopher Abbott), is recovering from a failed suicide attempt, so he seems like the perfect partner for executing this double suicide plan. But before they go, they have some unfinished business to attend to. [Sundance]",https://www.metacritic.com/movie/on-the-count-of-three
55.,Gagarine,"April 1, 2022",74,tbd,"Youri, 16, has lived all his life in Gagarine Cité, a vast red brick housing project on the outskirts of Paris. From the heights of his apartment, he dreams of becoming an astronaut. But when plans to demolish his community’s home are leaked, Youri joins the resistance. With his friends Diana and Houssam, he embarks on a mission to save Gagarine, transforming the estate into his own “starship” – before it disappears into space forever.",https://www.metacritic.com/movie/gagarine
56.,Jackass Forever,"February 4, 2022",74,6.6,"Celebrating the joy of being back together with your best friends and a perfectly executed shot to the dingdong, the original jackass crew return for another round of hilarious, wildly absurd, and often dangerous displays of comedy with a little help from some exciting new cast. Johnny and the team push the envelope even further in Jackass Forever.",https://www.metacritic.com/movie/jackass-forever
57.,Hatching,"April 29, 2022",74,6.4,"12-year-old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief.",https://www.metacritic.com/movie/hatching
58.,You Are Not My Mother,"March 25, 2022",74,4.5,"It’s the week before Halloween. Char’s bedridden mother, Angela, has mysteriously gone missing. All that remains is her abandoned car parked in the middle of a field. When Angela returns home to their North Dublin estate the following evening without explanation, it becomes clear to Char and her grandmother, Rita, that something is amiss. She might look and sound the same, but Angela’s behavior has become increasingly erratic and frightening, as if she has been replaced by a malevolent force. As Halloween approaches, a night steeped in ancient Irish myth and legend, Char must unearth the dark secrets of her family in order to uncover the truth behind her mother's disappearance and save her, even if it means potentially losing her forever.",https://www.metacritic.com/movie/you-are-not-my-mother
59.,Both Sides of the Blade,"July 8, 2022",74,tbd,"Sara (Juliette Binoche) and Jean (Vincent Lindon) have been in a loving, stable relationship for ten years. They are happy. He is her rock, someone she can hold on to. When they first met, Sara was in a relationship with François (Grégoire Colin), Jean’s best friend. One day, Sara sees François on the street. He does not see her, but she is overwhelmed by a sensation that her life could suddenly change. François does indeed get in touch with Jean to suggest that they work together again. Before long, things are in danger of spiralling out of control. [Berlin]",https://www.metacritic.com/movie/both-sides-of-the-blade
60.,Il Buco,"May 13, 2022",74,tbd,"During the economic boom of the 1960s, Europe’s highest building is being built in Italy’s prosperous North. At the other end of the country, young speleologists explore Europe’s deepest cave in the untouched Calabrian hinterland. The bottom of the Bifurto Abyss, 700 meters below Earth, is reached for the first time. The intruders’ venture goes unnoticed by the inhabitants of a small neighboring village, but not by the old shepherd of the Pollino plateau whose solitary life begins to interweave with the group’s journey.",https://www.metacritic.com/movie/il-buco
61.,The Tale of King Crab,"April 15, 2022",73,tbd,"Italy, today. Some elderly hunters reminisce about the local tale of Luciano. Luciano lives as a wandering drunkard in a remote village of the region called Tuscia. Spiteful actions ensue between him and the prince of the region over the right of passage through an ancient gateway. Fueled by passions and jealousy, these actions result in a horrible misdeed. Now an unfortunate criminal, Luciano is exiled to the distant Tierra del Fuego where, with the help of ruthless gold-diggers, he searches for a mythical treasure, paving his way towards redemption. However, in these barren lands, only greed and insanity can prevail.",https://www.metacritic.com/movie/the-tale-of-king-crab
62.,Lucy and Desi,"March 4, 2022",73,6.1,"Lucy and Desi explores the unlikely partnership and enduring legacy of one of the most prolific power couples in entertainment history. Lucille Ball and Desi Arnaz risked everything to be together. Their love for each other led to the most influential show in the history of television, I Love Lucy. Desi – an immigrant from Cuba who lost everything in exile, became a band leader, and eventually a brilliant producer and technical pioneer. Lucille came from nothing and, with an unrivaled work ethic, built a career as a model, chorus girl and eventually as an actor in the studio system. She found her calling in comedy, first in radio. When Lucille was finally granted the opportunity to have her own television show, she insisted that her real-life spouse, Desi, be cast as her husband. Defying the odds, they re-invented the medium, on the screen and behind the cameras. The foundation of I Love Lucy was the constant rupture and repair of unconditional love. What Lucy and Desi couldn’t make work with each other, they gave to the rest of the world. Lucy and Desi is an insightful and intimate peek behind the curtain of these two remarkable trailblazers – featuring interviews with Lucie Arnaz Luckinbill, Norman Lear, Desi Arnaz Jr, Carol Burnett and Bette Midler.",https://www.metacritic.com/movie/lucy-and-desi
63.,Official Competition,"June 17, 2022",73,tbd,"In search of significance and social prestige, a billionaire businessman decides to make a film to leave his mark. To do so, he hires the best: a stellar team formed by famous filmmaker Lola Cuevas (Penélope Cruz) and two renowned actors, both enormously talented, but with even bigger egos: the Hollywood actor Félix Rivero (Antonio Banderas) and radical theater thespian Iván Torres (Oscar Martínez). Both legends, but not exactly the best of friends. Through a series of increasingly eccentric challenges set by Lola, Felix and Iván must face not only each other, but also their own legacies.",https://www.metacritic.com/movie/official-competition
64.,Pirates,"April 1, 2022",73,tbd,"New Year’s Eve 1999. Cappo (Elliot Edusah), Two Tonne (Jordan Peters) and Kid (Reda Elazouar) drive through London in their tiny Peugeot 205, pumping a live garage set from the stereo and arguing about their Avirex jackets and Naf Naf imports. As the eighteen-year olds step into adulthood they know their lives and friendships are on the brink of change. Determined to end the century on a bang they drive from place to place in a desperate search for tickets for the best millennium party ever. In their efforts to end up somewhere, they end up closer together.",https://www.metacritic.com/movie/pirates-2021
65.,Anaïs in Love,"April 29, 2022",72,tbd,A spirited young woman (Anaïs Demoustier) falls in love with the novelist wife of the man with whom she’s having an affair.,https://www.metacritic.com/movie/anais-in-love
66.,Emergency,"May 20, 2022",72,tbd,"Kunle (Donald Elise Watkins) and his best friend, Sean (RJ Cyler), are both seniors in college about to embark on an epic night of Spring Break parties. Sean has the whole night planned out, including every party they will hit on their “legendary tour.” Kunle is down, yet mostly concerned with finishing up his mold experiment in his lab, as his acceptance to Princeton is hinging on the results. They return to their apartment to pre-game, yet find that their roommate, Carlos (Sebastian Chacon), left the door open. As they enter with trepidation, Sean and Kunle discover a drunk, semi-conscious White female they don’t know on the floor and an oblivious Carlos, who didn’t hear her come in over the videogame blaring in his ears. Kunle wants to call the cops but Sean vehemently opposes the idea concerned how it will look when the cops show up (two Black men, one Latino man and a passed out White woman).  Together, Carlos, Sean and Kunle load the girl - who they nickname Goldilocks, but whose real name is Emma (Maddie Nichols) - into Sean’s van, with the intention of taking her somewhere safe rather than calling the police. Meanwhile, Emma’s sister, Maddy (Sabrina Carpenter), has realized that Emma left the party they were at, and begins to search for her in a drunk panic using Emma’s phone’s location. What ensues is a chaotic, hilarious, and tension- filled chase all over town as our trio grapples with their differences while attempting to bring Emma to safety.",https://www.metacritic.com/movie/emergency
67.,The Long Walk,"February 18, 2022",72,tbd,"An old Laotian scavenger living on the fringes of a near-future society exploits a ghostly companion’s ability to traverse time, hoping to prevent his mother’s suffering from a terminal illness.",https://www.metacritic.com/movie/the-long-walk
68.,7 Days,"March 25, 2022",72,tbd,"Set-up on a pre-arranged date by their old-fashioned Indian parents, Ravi (Karan Soni) and Rita (Geraldine Viswanathan) seemingly have nothing in common. The situation turns both awkward and enlightening when they find themselves trapped inside together for a week.",https://www.metacritic.com/movie/7-days
69.,A Chiara,"May 27, 2022",72,tbd,"Winner of the Cannes’ Directors' Fortnight Award and a rising voice of Italian cinema, filmmaker Jonas Carpignano continues his exploration of the intricacies of life in contemporary Calabria with this compelling character study of a teenager, Chiara, who gradually comes to discover that her close-knit family is not all that it seems. In this furiously paced drama, Chiara investigates her father’s disappearance just one day after her oldest sister’s birthday. As she gets closer to the difficult truth about her mysteriously missing father—and the crime syndicates that control her region— Chiara is forced to decide what kind of future she wants for herself. [Neon]",https://www.metacritic.com/movie/a-chiara
70.,Bull,"April 1, 2022",72,tbd,"Ten years after he was last seen, Bull (Neil Maskel), a vicious mob enforcer, seeks revenge on the gang that double-crossed him. He returns home to methodically track down those who betrayed him and find his beloved son. With the ominous warning: “I’m coming for all of them,” Bull stalks his former gang, leading up to a savage showdown between his wife and her mob boss father (David Hayman).",https://www.metacritic.com/movie/bull-2022
